Count,Name,End X,End Y,Length,Start X,Start Y
1,Line,12.0000,1.3333,1.3333,12.0000,0.0000
1,Line,10.0000,2.6667,2.6667,10.0000,0.0000
1,Line,6.0000,0.0000,4.0000,6.0000,4.0000
1,Line,4.0000,2.6667,2.4037,2.0000,1.3333
1,Line,6.0000,4.0000,2.4037,4.0000,2.6667
1,Line,8.0000,0.0000,4.0000,8.0000,4.0000
1,Line,8.0000,4.0000,2.0000,6.0000,4.0000
1,Line,8.0000,4.0000,2.4037,10.0000,2.6667
1,Line,12.0000,1.3333,2.4037,14.0000,0.0000
1,Line,10.0000,2.6667,2.4037,12.0000,1.3333
1,Line,8.0000,0.0000,2.0000,6.0000,0.0000
1,Line,10.0000,0.0000,2.0000,8.0000,0.0000
1,Line,6.0000,0.0000,2.0000,4.0000,0.0000
1,Line,2.0000,0.0000,2.0000,0.0000,0.0000
1,Line,4.0000,0.0000,2.0000,2.0000,0.0000
1,Line,4.0000,2.6667,2.6667,4.0000,0.0000
1,Line,2.0000,1.3333,2.4037,0.0000,0.0000
1,Line,2.0000,1.3333,1.3333,2.0000,0.0000
1,Line,12.0000,0.0000,2.0000,10.0000,0.0000
1,Line,14.0000,0.0000,2.0000,12.0000,0.0000
